Date,Price
2012-07-29,7.35
2012-07-30,7.37
2012-07-31,7.36
2012-08-01,7.38
2012-08-02,7.41
2012-08-03,7.41
2012-08-04,7.43
2012-08-05,7.44
2012-08-06,7.46
2012-08-07,7.47
2012-08-08,7.45
2012-08-09,7.45
2012-08-10,7.43
2012-08-11,7.42
2012-08-12,7.38
2012-08-13,7.41
2012-08-14,7.46
2012-08-15,7.51
2012-08-16,7.52
2012-08-17,7.49
2012-08-18,7.48
2012-08-19,7.47
2012-08-20,7.44
2012-08-21,7.44
2012-08-22,7.41
2012-08-23,7.43
2012-08-24,7.43
2012-08-25,7.4
2012-08-26,7.42
2012-08-27,7.37
2012-08-28,7.38
2012-08-29,7.38
2012-08-30,7.38
2012-08-31,7.38
2012-09-01,7.38
2012-09-02,7.38
2012-09-03,7.38
2012-09-04,7.51
2012-09-05,7.51
2012-09-06,7.57
2012-09-07,7.56
2012-09-08,7.52
2012-09-09,7.56
2012-09-10,7.58
2012-09-11,7.57
2012-09-12,7.62
2012-09-13,7.55
2012-09-14,7.62
2012-09-15,7.62
2012-09-16,7.59
2012-09-17,7.58
2012-09-18,7.62
2012-09-19,7.61
2012-09-20,7.61
2012-09-21,7.63
2012-09-22,7.67
2012-09-23,7.66
2012-09-24,7.7
2012-09-25,7.76
2012-09-26,7.8
2012-09-27,7.91
2012-09-28,7.99
2012-09-29,7.99
2012-09-30,7.98
2012-10-01,7.96
2012-10-02,8.04
2012-10-03,8.07
2012-10-04,8.11
2012-10-05,8.16
2012-10-06,8.14
2012-10-07,8.26
2012-10-08,8.27
2012-10-09,8.29
2012-10-10,8.28
2012-10-11,8.35
2012-10-12,8.35
2012-10-13,8.4
2012-10-14,8.41
2012-10-15,8.41
2012-10-16,8.42
2012-10-17,8.48
2012-10-18,8.49
2012-10-19,8.5
2012-10-20,8.5
2012-10-21,8.5
2012-10-22,8.5
2012-10-23,8.49
2012-10-24,8.47
2012-10-25,8.52
2012-10-26,8.53
2012-10-27,8.56
2012-10-28,8.54
2012-10-29,8.56
2012-10-30,8.6
2012-10-31,8.59
2012-11-01,8.72
2012-11-02,8.71
2012-11-03,8.73
2012-11-04,8.77
2012-11-05,8.83
2012-11-06,8.86
2012-11-07,8.8
2012-11-08,8.82
2012-11-09,8.79
2012-11-10,8.81
2012-11-11,8.89
2012-11-12,8.87
2012-11-13,8.97
2012-11-14,8.99
2012-11-15,9.0
2012-11-16,9.02
2012-11-17,8.99
2012-11-18,9.05
2012-11-19,9.08
2012-11-20,9.03
2012-11-21,8.98
2012-11-22,8.98
2012-11-23,8.97
2012-11-24,8.97
2012-11-25,9.06
2012-11-26,8.99
2012-11-27,9.0
2012-11-28,8.94
2012-11-29,8.92
2012-11-30,8.93
2012-12-01,8.89
2012-12-02,8.95
2012-12-03,8.92
2012-12-04,8.91
2012-12-05,9.0
2012-12-06,9.02
2012-12-07,9.04
2012-12-08,9.05
2012-12-09,9.08
2012-12-10,9.08
2012-12-11,9.08
2012-12-12,9.09
2012-12-13,9.1
2012-12-14,9.12
2012-12-15,9.12
2012-12-16,9.13
2012-12-17,9.14
2012-12-18,9.17
2012-12-19,9.16
2012-12-20,9.15
2012-12-21,9.13
2012-12-22,9.13
2012-12-23,9.13
2012-12-24,9.13
2012-12-25,9.15
2012-12-26,9.19
2012-12-27,9.18
2012-12-28,9.18
2012-12-29,9.17
2012-12-30,9.19
2012-12-31,9.2
2013-01-01,9.18
2013-01-02,9.21
2013-01-03,9.2
2013-01-04,9.18
2013-01-05,9.23
2013-01-06,9.21
2013-01-07,9.14
2013-01-08,9.2
2013-01-09,9.25
2013-01-10,9.28
2013-01-11,9.26
2013-01-12,9.23
2013-01-13,9.21
2013-01-14,9.17
2013-01-15,9.24
2013-01-16,9.26
2013-01-17,9.26
2013-01-18,9.33
2013-01-19,9.28
2013-01-20,9.38
2013-01-21,9.38
2013-01-22,9.3
2013-01-23,9.36
2013-01-24,9.39
2013-01-25,9.36
2013-01-26,9.36
2013-01-27,9.37
2013-01-28,9.36
2013-01-29,9.35
2013-01-30,9.34
2013-01-31,9.31
2013-02-01,9.29
2013-02-02,9.26
2013-02-03,9.29
2013-02-04,9.33
2013-02-05,9.33
2013-02-06,9.36
2013-02-07,9.33
2013-02-08,9.34
2013-02-09,9.38
2013-02-10,9.41
2013-02-11,9.41
2013-02-12,9.42
2013-02-13,9.35
2013-02-14,9.35
2013-02-15,9.41
2013-02-16,9.43
2013-02-17,9.42
2013-02-18,9.38
2013-02-19,9.39
2013-02-20,9.38
2013-02-21,9.41
2013-02-22,9.37
2013-02-23,9.35
2013-02-24,9.36
2013-02-25,9.36
2013-02-26,9.38
2013-02-27,9.41
2013-02-28,9.41
2013-03-01,9.41
2013-03-02,9.41
2013-03-03,9.41
2013-03-04,9.44
2013-03-05,9.43
2013-03-06,9.5
2013-03-07,9.4
2013-03-08,9.49
2013-03-09,9.49
2013-03-10,9.49
2013-03-11,9.49
2013-03-12,9.45
2013-03-13,9.48
2013-03-14,9.49
2013-03-15,9.49
2013-03-16,9.48
2013-03-17,9.49
2013-03-18,9.49
2013-03-19,9.49
2013-03-20,9.49
2013-03-21,9.48
2013-03-22,9.47
2013-03-23,9.47
2013-03-24,9.47
2013-03-25,9.47
2013-03-26,9.47
2013-03-27,9.45
2013-03-28,9.45
2013-03-29,9.45
2013-03-30,9.44
2013-03-31,9.44
2013-04-01,9.44
2013-04-02,9.45
2013-04-03,9.45
2013-04-04,9.37
2013-04-05,9.4
2013-04-06,9.4
2013-04-07,9.4
2013-04-08,9.36
2013-04-09,9.35
2013-04-10,9.36
2013-04-11,9.36
2013-04-12,9.26
2013-04-13,9.35
2013-04-14,9.37
2013-04-15,9.36
2013-04-16,9.35
2013-04-17,9.26
2013-04-18,9.26
2013-04-19,9.26
2013-04-20,9.26
2013-04-21,9.3
2013-04-22,9.25
2013-04-23,9.25
2013-04-24,9.26
2013-04-25,9.25
2013-04-26,9.26
2013-04-27,9.26
2013-04-28,9.26
2013-04-29,9.25
2013-04-30,9.28
2013-05-01,9.28
2013-05-02,9.28
2013-05-03,9.33
2013-05-04,9.33
2013-05-05,9.35
2013-05-06,9.3
2013-05-07,9.35
2013-05-08,9.35
2013-05-09,9.33
2013-05-10,9.28
2013-05-11,9.28
2013-05-12,9.19
2013-05-13,9.18
2013-05-14,9.11
2013-05-15,9.0
2013-05-16,9.0
2013-05-17,9.0
2013-05-18,9.0
2013-05-19,9.02
2013-05-20,9.03
2013-05-21,9.03
2013-05-22,9.03
2013-05-23,9.01
2013-05-24,9.0
2013-05-25,9.0
2013-05-26,9.0
2013-05-27,9.0
2013-05-28,8.99
2013-05-29,9.0
2013-05-30,8.99
2013-05-31,8.99
2013-06-01,8.99
2013-06-02,9.0
2013-06-03,8.99
2013-06-04,8.99
2013-06-05,9.0
2013-06-06,9.0
2013-06-07,9.0
2013-06-08,9.0
2013-06-09,8.99
2013-06-10,8.99
2013-06-11,8.99
2013-06-12,8.99
2013-06-13,8.99
2013-06-14,8.99
2013-06-15,8.99
2013-06-16,8.99
2013-06-17,8.99
2013-06-18,8.99
2013-06-19,8.99
2013-06-21,9.1
2013-06-22,9.07
2013-06-23,9.07
2013-06-24,9.1
2013-06-25,9.1
2013-06-26,9.09
2013-06-27,9.13
2013-06-28,9.16
2013-06-29,9.2
2013-06-30,9.16
2013-07-01,9.24
2013-07-02,9.28
2013-07-03,9.25
2013-07-04,9.29
2013-07-05,9.27
2013-07-06,9.32
2013-07-07,9.3
2013-07-08,9.36
2013-07-09,9.4
2013-07-10,9.46
2013-07-11,9.47
2013-07-12,9.5
2013-07-13,9.51
2013-07-14,9.53
2013-07-15,9.51
2013-07-16,9.51
2013-07-17,9.46
2013-07-18,9.47
2013-07-19,9.42
2013-07-20,9.45
2013-07-21,9.43
2013-07-22,9.41
2013-07-23,9.4
2013-07-24,9.39
2013-07-25,9.32
2013-07-26,9.36
2013-07-27,9.39
2013-07-28,9.38
2013-07-29,9.39
2013-07-30,9.39
2013-07-31,9.43
2013-08-01,9.43
2013-08-02,9.46
2013-08-03,9.5
2013-08-04,9.49
2013-08-05,9.5
2013-08-06,9.5
2013-08-07,9.46
2013-08-08,9.49
2013-08-09,9.52
2013-08-10,9.56
2013-08-11,9.57
2013-08-12,9.57
2013-08-13,9.56
2013-08-14,9.59
2013-08-15,9.57
2013-08-16,9.58
2013-08-17,9.61
2013-08-18,9.62
2013-08-19,9.63
2013-08-20,9.62
2013-08-21,9.6
2013-08-22,9.52
2013-08-23,9.59
2013-08-24,9.58
2013-08-25,9.56
2013-08-26,9.63
2013-08-27,9.58
2013-08-28,9.57
2013-08-29,9.57
2013-08-30,9.62
2013-08-31,9.64
2013-09-01,9.59
2013-09-02,9.56
2013-09-03,9.53
2013-09-05,9.51
2013-09-06,9.53
2013-09-07,9.6
2013-09-08,9.51
2013-09-09,9.56
2013-09-10,9.62
2013-09-11,9.69
2013-09-12,9.67
2013-09-13,9.78
2013-09-14,9.79
2013-09-15,9.8
2013-09-16,9.78
2013-09-17,9.77
2013-09-18,9.76
2013-09-19,9.74
2013-09-20,9.82
2013-09-21,9.84
2013-09-22,9.81
2013-09-23,9.81
2013-09-24,9.79
2013-09-25,9.78
2013-09-26,9.77
2013-09-27,9.74
2013-09-28,9.83
2013-09-29,9.83
2013-09-30,9.82
2013-10-01,9.85
2013-10-02,9.87
2013-10-03,9.89
2013-10-04,9.87
2013-10-05,9.9
2013-10-06,9.91
2013-10-07,9.86
2013-10-08,9.92
2013-10-09,9.94
2013-10-10,10.01
2013-10-11,9.95
2013-10-12,10.03
2013-10-13,10.06
2013-10-14,10.07
2013-10-15,10.01
2013-10-16,10.1
2013-10-17,10.13
2013-10-18,10.12
2013-10-19,10.1
2013-10-20,10.12
2013-10-21,10.11
2013-10-22,10.13
2013-10-23,10.11
2013-10-24,10.12
2013-10-25,10.09
2013-10-26,10.08
2013-10-27,10.08
2013-10-28,10.11
2013-10-29,10.11
2013-10-30,10.12
2013-10-31,10.1
2013-11-01,10.19
2013-11-02,10.18
2013-11-03,10.19
2013-11-04,10.25
2013-11-05,10.34
2013-11-06,10.36
2013-11-07,10.37
2013-11-08,10.38
2013-11-09,10.46
2013-11-10,10.52
2013-11-11,10.43
2013-11-12,10.52
2013-11-13,10.57
2013-11-14,10.56
2013-11-15,10.49
2013-11-16,10.55
2013-11-17,10.57
2013-11-18,10.59
2013-11-19,10.74
2013-11-20,10.79
2013-11-21,10.83
2013-11-22,10.88
2013-11-23,11.05
2013-11-24,11.08
2013-11-25,11.07
2013-11-26,11.04
2013-11-27,11.07
2013-11-28,11.15
2013-11-29,11.23
2013-11-30,11.15
2013-12-01,11.35
2013-12-02,11.45
2013-12-03,11.43
2013-12-04,11.33
2013-12-05,11.63
2013-12-06,11.88
2013-12-07,11.8
2013-12-08,12.34
2013-12-09,12.45
2013-12-10,12.41
2013-12-11,12.22
2013-12-12,12.44
2013-12-13,12.53
2013-12-14,12.42
2013-12-16,12.89
2013-12-17,13.13
2013-12-18,13.05
2013-12-19,13.43
2013-12-20,13.86
2013-12-21,13.94
2013-12-22,13.96
2013-12-23,13.97
2013-12-24,14.07
2013-12-25,14.09
2013-12-26,14.33
2013-12-27,14.66
2013-12-28,14.76
2013-12-29,14.91
2013-12-30,15.06
2013-12-31,15.73
2014-01-01,16.47
2014-01-02,21.49
2014-01-03,23.12
2014-01-04,26.32
2014-01-05,30.3
2014-01-06,29.97
2014-01-07,29.45
2014-01-08,29.41
2014-01-09,29.46
2014-01-10,28.92
2014-01-11,28.58
2014-01-12,28.23
2014-01-13,28.49
2014-01-14,28.46
2014-01-15,28.53
2014-01-16,28.75
2014-01-17,28.89
2014-01-18,28.15
2014-01-19,28.44
2014-01-20,28.21
2014-01-21,28.33
2014-01-22,28.37
2014-01-23,28.52
2014-01-24,28.47
2014-01-25,28.59
2014-01-26,28.63
2014-01-27,29.19
2014-01-28,29.61
2014-01-29,29.88
2014-01-30,29.81
2014-01-31,29.73
2014-02-01,29.97
2014-02-02,29.5
2014-02-03,29.9
2014-02-04,30.84
2014-02-05,29.7
2014-02-06,29.5
2014-02-07,29.7
2014-02-08,29.54
2014-02-09,28.99
2014-02-10,28.9
2014-02-11,28.67
2014-02-12,28.95
2014-02-13,28.97
2014-02-14,28.99
2014-02-15,28.98
2014-02-16,29.31
2014-02-17,28.97
2014-02-18,28.9
2014-02-19,28.98
2014-02-20,28.49
2014-02-21,28.49
2014-02-22,28.42
2014-02-23,28.44
2014-02-24,28.44
2014-02-25,28.42
2014-02-26,28.49
2014-02-27,28.49
2014-02-28,28.45
2014-03-01,28.48
2014-03-02,28.49
2014-03-03,28.49
2014-03-04,28.49
2014-03-05,28.45
2014-03-06,28.45
2014-03-07,28.49
2014-03-08,28.49
2014-03-09,28.45
2014-03-10,28.2
2014-03-11,27.99
2014-03-12,27.99
2014-03-13,27.99
2014-03-14,27.96
